observed_at,health_http_200,direct_api_ms,overview_api_ms,system_api_ms,ledger_api_ms,processor_healthy,heartbeat_healthy,progress_healthy,progress_age_ms,lifecycle_cycle_count,errors_last_5m,direct_open,direct_closed,direct_pnl_usdt,direct_classic_pf,app_rss_mb,heap_mb,redis_rps,redis_keys
2026-08-26T23:36:06.107Z,true,47.2,112.7,123.1,94.8,true,true,true,1848,2813,0,2,9,-0.541761,0.288,1356.5,345,416,135645
2026-08-26T23:36:21.159Z,true,17.5,43.4,44.6,,true,true,true,9075,2829,0,3,9,-0.541761,0.288,906.5,620,1978,135647
2026-08-26T23:36:36.044Z,true,19.6,49.9,20.7,,true,true,true,2450,2858,0,4,9,-0.541761,0.288,1195.8,719,592,135648
2026-08-26T23:36:51.037Z,true,17.6,49.8,50,,true,true,true,2166,2899,0,4,9,-0.541761,0.288,1233.6,686,37,135653
2026-08-26T23:37:06.144Z,true,31.2,111,157.8,99.2,true,true,true,2160,2943,0,4,9,-0.541761,0.288,1291.5,750,387,135652
2026-08-26T23:37:21.096Z,true,21.3,58.9,59.4,,true,true,true,6239,2971,0,4,9,-0.541761,0.288,1311.9,393,1101,135684
2026-08-26T23:37:36.197Z,true,17.6,45,18.6,,true,true,true,464,3012,0,4,9,-0.541761,0.288,1339.7,596,202,135680
2026-08-26T23:37:51.142Z,true,16.3,45.5,46.4,,true,true,true,626,3054,0,4,9,-0.541761,0.288,1352.6,549,767,135843
2026-08-26T23:38:06.155Z,true,31.7,91.2,111.5,89.1,true,true,true,912,3096,0,4,9,-0.541761,0.288,1353.7,598,306,135874
2026-08-26T23:38:21.154Z,true,18.7,65.6,65.7,,true,true,true,1029,3133,0,4,9,-0.541761,0.288,1353.9,457,1149,135893
2026-08-26T23:38:36.082Z,true,24.3,54.2,33.8,,true,true,true,2350,3155,0,4,9,-0.541761,0.288,1343.3,494,204,135917
2026-08-26T23:38:51.305Z,true,16.8,43.6,42.6,,true,true,true,438,3200,0,4,9,-0.541761,0.288,1356.8,539,293,135933
2026-08-26T23:39:06.118Z,true,33.5,104.5,104.9,101.6,true,true,true,177,3244,0,4,9,-0.541761,0.288,1357.8,584,185,135929
2026-08-26T23:39:21.103Z,true,18.5,54.5,54.7,,true,true,true,1965,3278,0,4,9,-0.541761,0.288,1359,386,141,135928
2026-08-26T23:39:36.122Z,true,17.8,52.6,18.6,,true,true,true,1935,3302,0,4,9,-0.541761,0.288,1347.5,452,444,135928
2026-08-26T23:39:51.102Z,true,20,49.2,49.4,,true,true,true,2271,3343,0,4,9,-0.541761,0.288,1333.6,506,122,135933
2026-08-26T23:40:06.165Z,true,31.2,94.8,96.6,92.3,true,true,true,158,3391,0,4,9,-0.541761,0.288,1336.3,544,2910,135928
2026-08-26T23:40:21.132Z,true,17.5,51.9,52.2,,true,true,true,1902,3425,0,4,9,-0.541761,0.288,1337.2,641,281,135929
2026-08-26T23:40:36.120Z,true,18.1,46.6,19.7,,true,true,true,5244,3452,0,4,9,-0.541761,0.288,1375.6,759,407,135933
2026-08-26T23:40:51.122Z,true,16.7,43.1,44.3,,true,true,true,2317,3481,0,5,9,-0.541761,0.288,1425.3,843,432,135932
2026-08-26T23:41:06.282Z,true,61.6,168.6,217.7,111.1,true,true,true,1107,3522,0,6,9,-0.541761,0.288,1424.8,350,392,135934
2026-08-26T23:41:21.137Z,true,19.1,56.8,62.1,,true,true,true,933,3563,0,6,9,-0.541761,0.288,843.6,348,413,135936
2026-08-26T23:41:36.650Z,true,18.7,56,20.2,,true,true,true,3446,3597,0,6,9,-0.541761,0.288,1010.8,361,207,135931
2026-08-26T23:41:51.245Z,true,19.7,55.3,55.7,,true,true,true,1927,3621,0,6,9,-0.541761,0.288,1010,424,107,135937
2026-08-26T23:42:06.244Z,true,39,95.4,100.8,92.8,true,true,true,1898,3662,0,6,9,-0.541761,0.288,1021.8,439,238,135934
2026-08-26T23:42:21.221Z,true,21.6,62.6,63.2,,true,true,true,2155,3699,0,6,9,-0.541761,0.288,955.1,399,190,135932
2026-08-26T23:42:36.205Z,true,17.7,53.9,54.1,,true,true,true,1997,3740,0,6,9,-0.541761,0.288,1003.2,370,267,135932
2026-08-26T23:42:51.220Z,true,17.2,56.9,58.4,,true,true,true,1378,3763,0,6,9,-0.541761,0.288,1001.2,424,338,135936
